Please select your  age (in years) below :,How often do you find that you stay online longer than you intended?  [Your response],How often do your grades or school work suffer because of the amount of time you spend online?  [Your response],How often does your job performance or productivity suffer because of the social media?  [Your response],How often do you check your social media account before something else that you need to do? [Your response],How often do you lose sleep due to being online?  [Your response],How often do you try to cut down the amount of time you spend online and fail? [Your response],"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back online? [Your response]","In a day, how much time do you spend on social media platforms?",How well are you able to concentrate?,Are you able to accept your bodily appearance?,How satisfied are you with the support you get from your friends?,"How often do you have negative feelings, such as blue mood, despair, anxiety, depression? ",Highest level of eduaction attained :,Field of education / profession :,Type of settlement : ,When did you start using social media actively?
23-25,Frequently,Often,Frequently,Frequently,Rarely,Often,Rarely,1 to 2 hours,4,4,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Frequently,Rarely,Frequently,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,4,3,5,1,Bachelor's Degree,Pharmacy,Rural,4 years ago or higher
23-25,Frequently,Frequently,Often,Always,Always,Often,Rarely,greater than 3 hours,3,1,4,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Occasionally,Rarely,Frequently,Rarely,1 to 2 hours,4,3,5,1,Master's Degree,Management,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Frequently,Often,Frequently,Occasionally,2 to 3 hours,4,3,4,2,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Frequently,Often,Frequently,Rarely,Rarely,Rarely,Frequently,2 to 3 hours,4,5,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Frequently,Occasionally,Rarely,Occasionally,Often,Occasionally,Occasionally,greater than 3 hours,3,4,3,3,Master's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Always,Often,Rarely,Often,Frequently,Rarely,1 to 2 hours,3,3,3,3,Bachelor's Degree,Finance,Urban,3 years ago
26-28,Frequently,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,Rarely,1 to 2 hours,3,2,3,4,Bachelor's Degree,Management,Urban,2 years ago
26-28,Frequently,Not Applicable,Rarely,Occasionally,Rarely,Rarely,Occasionally,2 to 3 hours,3,3,4,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,3 years ago
26-28,Frequently,Occasionally,Occasionally,Often,Frequently,Occasionally,Frequently,greater than 3 hours,4,3,4,4,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Rarely,Rarely,Occasionally,Occasionally,Rarely,1 to 2 hours,5,5,5,2,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Frequently,Frequently,Occasionally,Rarely,Rarely,greater than 3 hours,2,2,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Rarely,Occasionally,Frequently,Frequently,Rarely,1 to 2 hours,3,3,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Not Applicable,Rarely,Rarely,Occasionally,Not Applicable,1 to 2 hours,3,3,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Frequently,Frequently,Frequently,Often,Always,Always,Occasionally,greater than 3 hours,3,3,1,5,Bachelor's Degree,Engineering,Urban,3 years ago
26-28,Frequently,Not Applicable,Frequently,Occasionally,Frequently,Frequently,Rarely,1 to 2 hours,3,3,4,2,Bachelor's Degree,Engineering,Rural,4 years ago or higher
26-28,Frequently,Rarely,Rarely,Frequently,Frequently,Often,Often,2 to 3 hours,3,3,1,4,Master's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Rarely,Rarely,Occasionally,Frequently,Occasionally,Not Applicable,2 to 3 hours,4,3,3,4,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Frequently,Not Applicable,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,less than an hour,4,5,5,3,12th standard,"Arts, Psychology and Sociology",Rural,3 years ago
Above 28,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,1 to 2 hours,5,5,3,5,Bachelor's Degree,Designing,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Not Applicable,1 to 2 hours,3,2,1,5,Bachelor's Degree,Designing,Urban,3 years ago
Above 28,Frequently,Rarely,Occasionally,Often,Always,Always,Often,less than an hour,4,1,2,5,Bachelor's Degree,Management,Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Occasionally,Rarely,Occasionally,Occasionally,Rarely,greater than 3 hours,4,5,5,2,Diploma,"Arts, Psychology and Sociology",Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Rarely,Occasionally,Occasionally,Frequently,Rarely,2 to 3 hours,3,5,5,4,Diploma,Designing,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Rarely,Frequently,Occasionally,Frequently,Occasionally,greater than 3 hours,4,4,4,2,Diploma,Designing,Urban,4 years ago or higher
Above 28,Frequently,Often,Always,Occasionally,Often,Rarely,Frequently,1 to 2 hours,1,1,1,4,Master's Degree,Management,Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,5,4,3,2,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,1 to 2 hours,4,4,2,2,Master's Degree,Education Teaching,Urban,less than an year ago
Above 28,Frequently,Often,Often,Rarely,Not Applicable,Rarely,Not Applicable,1 to 2 hours,4,5,4,1,Master's Degree,Medical,Urban,4 years ago or higher
below 18,Frequently,Rarely,Rarely,Not Applicable,Not Applicable,Always,Rarely,2 to 3 hours,1,4,5,1,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
below 18,Frequently,Occasionally,Not Applicable,Frequently,Frequently,Occasionally,Rarely,greater than 3 hours,4,4,4,3,12th standard,"Arts, Psychology and Sociology",Urban,2 years ago
18-22,Frequently,Occasionally,Not Applicable,Occasionally,Rarely,Rarely,Rarely,less than an hour,3,3,3,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,greater than 3 hours,2,1,3,4,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Rarely,Not Applicable,Often,Always,Frequently,Occasionally,greater than 3 hours,5,2,2,4,12th standard,Designing,Urban,2 years ago
18-22,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Rarely,greater than 3 hours,4,4,4,3,12th standard,Designing,Urban,4 years ago or higher
18-22,Frequently,Not Applicable,Rarely,Frequently,Rarely,Not Applicable,Rarely,greater than 3 hours,4,4,5,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,Frequently,2 to 3 hours,4,4,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Frequently,Frequently,Frequently,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Frequently,Occasionally,Occasionally,Frequently,Frequently,Often,Rarely,1 to 2 hours,4,5,5,2,12th standard,Finance,Rural,4 years ago or higher
18-22,Frequently,Rarely,Not Applicable,Frequently,Rarely,Rarely,Rarely,1 to 2 hours,3,3,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Rarely,Frequently,Often,Occasionally,Often,Occasionally,2 to 3 hours,2,5,3,3,12th standard,Designing,Urban,2 years ago
18-22,Frequently,Rarely,Rarely,Occasionally,Rarely,Occasionally,Not Applicable,1 to 2 hours,3,3,5,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Frequently,Frequently,Not Applicable,Rarely,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,3,5,5,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Occasionally,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,2 to 3 hours,4,4,5,1,12th standard,Engineering,Urban,2 years ago
18-22,Frequently,Occasionally,Not Applicable,Frequently,Rarely,Frequently,Rarely,1 to 2 hours,3,5,5,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Often,Often,Always,Often,Occasionally,Frequently,greater than 3 hours,4,4,4,2,12th standard,Finance,Urban,2 years ago
18-22,Frequently,Often,Not Applicable,Rarely,Not Applicable,Occasionally,Not Applicable,2 to 3 hours,3,3,3,2,12th standard,Management,Urban,2 years ago
18-22,Frequently,Rarely,Rarely,Not Applicable,Not Applicable,Rarely,Not Applicable,2 to 3 hours,3,4,3,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Often,Not Applicable,Frequently,Occasionally,Always,Occasionally,2 to 3 hours,3,4,4,3,12th standard,Engineering,Urban,3 years ago
18-22,Frequently,Rarely,Occasionally,Occasionally,Frequently,Frequently,Rarely,1 to 2 hours,4,5,5,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
18-22,Frequently,Often,Not Applicable,Frequently,Rarely,Occasionally,Not Applicable,greater than 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Urban,2 years ago
18-22,Frequently,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Always,2 to 3 hours,3,2,3,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Frequently,Rarely,Occasionally,Frequently,Frequently,Occasionally,Rarely,2 to 3 hours,4,4,4,3,Bachelor's Degree,Fine Arts,Urban,4 years ago or higher
18-22,Frequently,Rarely,Occasionally,Frequently,Frequently,Occasionally,Rarely,2 to 3 hours,4,4,4,3,Bachelor's Degree,Fine Arts,Urban,4 years ago or higher
18-22,Frequently,Rarely,Not Applicable,Frequently,Frequently,Rarely,Rarely,2 to 3 hours,3,1,5,5,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Frequently,Not Applicable,Rarely,Occasionally,Often,Rarely,Rarely,2 to 3 hours,4,3,3,4,Bachelor's Degree,Fine Arts,Urban,4 years ago or higher
18-22,Frequently,Rarely,Occasionally,Always,Often,Often,Occasionally,1 to 2 hours,3,4,4,5,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Frequently,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,1 to 2 hours,3,4,3,3,12th standard,"Arts, Psychology and Sociology",Urban,3 years ago
23-25,Frequently,Rarely,Rarely,Frequently,Often,Often,Frequently,2 to 3 hours,4,5,5,3,Bachelor's Degree,Engineering,Rural,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Rarely,Frequently,Occasionally,Rarely,1 to 2 hours,4,4,4,2,Bachelor's Degree,Finance,Rural,4 years ago or higher
23-25,Frequently,Occasionally,Occasionally,Occasionally,Rarely,Frequently,Rarely,less than an hour,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,less than an year ago
23-25,Frequently,Rarely,Rarely,Frequently,Occasionally,Occasionally,Not Applicable,2 to 3 hours,4,5,5,1,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Frequently,Occasionally,Rarely,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,4,4,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Frequently,Frequently,Rarely,Frequently,Often,Frequently,Frequently,2 to 3 hours,4,4,5,4,Bachelor's Degree,Management,Rural,4 years ago or higher
23-25,Frequently,Often,Often,Always,Often,Always,Rarely,2 to 3 hours,4,4,4,3,Bachelor's Degree,Engineering,Rural,4 years ago or higher
23-25,Frequently,Occasionally,Occasionally,Often,Frequently,Frequently,Occasionally,2 to 3 hours,3,4,2,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Frequently,Not Applicable,Occasionally,Often,Always,Frequently,Occasionally,greater than 3 hours,5,3,5,4,Bachelor's Degree,Engineering,Rural,4 years ago or higher
23-25,Frequently,Not Applicable,Occasionally,Frequently,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,5,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Frequently,Frequently,Frequently,Frequently,Rarely,Occasionally,Rarely,greater than 3 hours,4,4,5,1,Bachelor's Degree,Finance,Rural,4 years ago or higher
23-25,Frequently,Not Applicable,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,4,5,5,4,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Frequently,Rarely,Occasionally,Occasionally,Often,Rarely,Rarely,1 to 2 hours,4,4,4,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,4,5,4,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Occasionally,Often,Occasionally,Rarely,1 to 2 hours,5,5,5,2,Bachelor's Degree,Designing,Urban,3 years ago
23-25,Frequently,Often,Frequently,Frequently,Rarely,Often,Rarely,1 to 2 hours,4,4,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Frequently,Rarely,Frequently,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,4,3,5,1,Bachelor's Degree,Pharmacy,Rural,4 years ago or higher
23-25,Frequently,Frequently,Often,Always,Always,Often,Rarely,greater than 3 hours,3,1,4,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Occasionally,Rarely,Frequently,Rarely,1 to 2 hours,4,3,5,1,Master's Degree,Management,Urban,4 years ago or higher
23-25,Frequently,Rarely,Rarely,Frequently,Often,Frequently,Occasionally,2 to 3 hours,4,3,4,2,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Frequently,Often,Frequently,Rarely,Rarely,Rarely,Frequently,2 to 3 hours,4,5,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Frequently,Occasionally,Rarely,Occasionally,Often,Occasionally,Occasionally,greater than 3 hours,3,4,3,3,Master's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Always,Often,Rarely,Often,Frequently,Rarely,1 to 2 hours,3,3,3,3,Bachelor's Degree,Finance,Urban,3 years ago
26-28,Frequently,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,Rarely,1 to 2 hours,3,2,3,4,Bachelor's Degree,Management,Urban,2 years ago
26-28,Frequently,Not Applicable,Rarely,Occasionally,Rarely,Rarely,Occasionally,2 to 3 hours,3,3,4,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,3 years ago
26-28,Frequently,Occasionally,Occasionally,Often,Frequently,Occasionally,Frequently,greater than 3 hours,4,3,4,4,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Rarely,Rarely,Occasionally,Occasionally,Rarely,1 to 2 hours,5,5,5,2,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Frequently,Frequently,Occasionally,Rarely,Rarely,greater than 3 hours,2,2,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Rarely,Occasionally,Frequently,Frequently,Rarely,1 to 2 hours,3,3,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Frequently,Not Applicable,Not Applicable,Rarely,Rarely,Occasionally,Not Applicable,1 to 2 hours,3,3,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Frequently,Frequently,Frequently,Often,Always,Always,Occasionally,greater than 3 hours,3,3,1,5,Bachelor's Degree,Engineering,Urban,3 years ago
26-28,Frequently,Not Applicable,Frequently,Occasionally,Frequently,Frequently,Rarely,1 to 2 hours,3,3,4,2,Bachelor's Degree,Engineering,Rural,4 years ago or higher
26-28,Frequently,Rarely,Rarely,Frequently,Frequently,Often,Often,2 to 3 hours,3,3,1,4,Master's Degree,Management,Urban,4 years ago or higher
26-28,Frequently,Rarely,Rarely,Occasionally,Frequently,Occasionally,Not Applicable,2 to 3 hours,4,3,3,4,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Frequently,Not Applicable,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,less than an hour,4,5,5,3,12th standard,"Arts, Psychology and Sociology",Rural,3 years ago
Above 28,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,1 to 2 hours,5,5,3,5,Bachelor's Degree,Designing,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Not Applicable,1 to 2 hours,3,2,1,5,Bachelor's Degree,Designing,Urban,3 years ago
Above 28,Frequently,Rarely,Occasionally,Often,Always,Always,Often,less than an hour,4,1,2,5,Bachelor's Degree,Management,Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Occasionally,Rarely,Occasionally,Occasionally,Rarely,greater than 3 hours,4,5,5,2,Diploma,"Arts, Psychology and Sociology",Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Rarely,Occasionally,Occasionally,Frequently,Rarely,2 to 3 hours,3,5,5,4,Diploma,Designing,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Rarely,Frequently,Occasionally,Frequently,Occasionally,greater than 3 hours,4,4,4,2,Diploma,Designing,Urban,4 years ago or higher
Above 28,Frequently,Often,Always,Occasionally,Often,Rarely,Frequently,1 to 2 hours,1,1,1,4,Master's Degree,Management,Rural,4 years ago or higher
Above 28,Frequently,Not Applicable,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,5,4,3,2,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Frequently,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,1 to 2 hours,4,4,2,2,Master's Degree,Education Teaching,Urban,less than an year ago
Above 28,Frequently,Often,Often,Rarely,Not Applicable,Rarely,Not Applicable,1 to 2 hours,4,5,4,1,Master's Degree,Medical,Urban,4 years ago or higher
below 18,Frequently,Rarely,Rarely,Not Applicable,Not Applicable,Always,Rarely,2 to 3 hours,1,4,5,1,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
below 18,Frequently,Occasionally,Not Applicable,Frequently,Frequently,Occasionally,Rarely,greater than 3 hours,4,4,4,3,12th standard,"Arts, Psychology and Sociology",Urban,2 years ago
18-22,Frequently,Occasionally,Not Applicable,Occasionally,Rarely,Rarely,Rarely,less than an hour,3,3,3,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,greater than 3 hours,2,1,3,4,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Rarely,Not Applicable,Often,Always,Frequently,Occasionally,greater than 3 hours,5,2,2,4,12th standard,Designing,Urban,2 years ago
18-22,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Rarely,greater than 3 hours,4,4,4,3,12th standard,Designing,Urban,4 years ago or higher
18-22,Frequently,Not Applicable,Rarely,Frequently,Rarely,Not Applicable,Rarely,greater than 3 hours,4,4,5,2,12th standard,Finance,Urban,4 years ago or higher
18-22,Frequently,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,Frequently,2 to 3 hours,4,4,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Frequently,Frequently,Frequently,Frequently,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Frequently,Occasionally,Occasionally,Frequently,Frequently,Often,Rarely,1 to 2 hours,4,5,5,2,12th standard,Finance,Rural,4 years ago or higher
18-22,Frequently,Rarely,Not Applicable,Frequently,Rarely,Rarely,Rarely,1 to 2 hours,3,3,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
